# Time-averaged data for fix mixing_stats
# TimeStep c_z1 c_z2 c_z3
400000 0.015724 0.0448924 0.0661301
401000 0.0184114 0.0530228 0.0781426
402000 0.0211579 0.0625779 0.0922153
403000 0.0231438 0.0711285 0.105351
404000 0.0244619 0.0786903 0.117527
405000 0.025206 0.0852679 0.12872
406000 0.025466 0.0908619 0.138868
407000 0.0253372 0.0954724 0.147935
408000 0.0249102 0.0991017 0.155813
409000 0.0242395 0.101753 0.162325
410000 0.0234426 0.103428 0.167381
411000 0.0225871 0.104146 0.170964
412000 0.0217236 0.103954 0.173288
413000 0.020896 0.102887 0.174488
414000 0.0201107 0.100993 0.17467
415000 0.0193826 0.0983296 0.173904
416000 0.0187051 0.0949434 0.172182
417000 0.0181382 0.0909279 0.169519
418000 0.0176653 0.0864187 0.165903
419000 0.0172989 0.0814924 0.161337
420000 0.0170095 0.0762922 0.155815
421000 0.0168053 0.071032 0.149328
422000 0.0166606 0.0658718 0.141887
423000 0.0165705 0.061068 0.133502
424000 0.0165244 0.0567635 0.124194
425000 0.0164992 0.052939 0.114062
426000 0.0164858 0.0497878 0.103191
427000 0.0164728 0.0472851 0.091851
428000 0.0164675 0.0455332 0.0808218
429000 0.0164612 0.0446119 0.0721896
430000 0.0164593 0.0443658 0.067936
431000 0.0164613 0.044306 0.0665644
432000 0.0164626 0.0442774 0.0661444
433000 0.016462 0.0442608 0.0659293
434000 0.0164621 0.0442528 0.0657777
435000 0.0164618 0.0442482 0.0656472
436000 0.0164619 0.0442456 0.0655508
437000 0.0164618 0.0442431 0.0654843
438000 0.0164617 0.044241 0.0654356
439000 0.0164617 0.0442398 0.0653967
440000 0.0164617 0.0442392 0.0653689
441000 0.0164616 0.0442386 0.0653526
442000 0.0164616 0.0442381 0.0653381
443000 0.0164616 0.0442376 0.0653247
444000 0.0164617 0.0442373 0.0653149
445000 0.0164617 0.0442371 0.0653064
446000 0.0164616 0.0442368 0.0652986
447000 0.0164616 0.0442368 0.0652927
448000 0.0164616 0.0442366 0.065287
449000 0.0164617 0.0442365 0.065283
450000 0.0164617 0.0442363 0.0652796
451000 0.0164616 0.0442361 0.0652766
452000 0.0164617 0.0442361 0.0652741
453000 0.0164616 0.044236 0.0652726
454000 0.0164616 0.044236 0.0652717
455000 0.0164616 0.044236 0.0652709
456000 0.0164616 0.044236 0.06527
457000 0.0164617 0.044236 0.0652694
458000 0.0164616 0.044236 0.0652687
459000 0.0164616 0.0442359 0.0652683
460000 0.0164616 0.0442359 0.065268
461000 0.0164616 0.044236 0.0652676
462000 0.0164617 0.044236 0.0652668
463000 0.0164616 0.0442359 0.0652659
464000 0.0164616 0.0442359 0.0652653
465000 0.0164616 0.0442359 0.0652649
466000 0.0164616 0.0442359 0.0652645
467000 0.0164616 0.0442359 0.0652644
468000 0.0164616 0.0442359 0.0652642
469000 0.0164616 0.0442359 0.0652641
470000 0.0164616 0.0442359 0.065264
471000 0.0164616 0.0442359 0.065264
472000 0.0164616 0.0442359 0.0652639
473000 0.0164616 0.0442359 0.065264
474000 0.0164616 0.0442359 0.065264
475000 0.0164616 0.0442359 0.0652639
476000 0.0164616 0.0442359 0.0652638
477000 0.0164616 0.0442359 0.0652638
478000 0.0164616 0.0442359 0.0652638
479000 0.0164616 0.0442359 0.0652637
480000 0.0164616 0.0442359 0.0652637
481000 0.0164616 0.0442359 0.0652637
482000 0.0164616 0.0442359 0.0652637
483000 0.0164616 0.0442359 0.0652637
484000 0.0164616 0.0442359 0.0652637
485000 0.0164616 0.0442359 0.0652637
486000 0.0164616 0.0442359 0.0652637
487000 0.0164616 0.0442359 0.0652637
488000 0.0164616 0.0442359 0.0652637
489000 0.0164616 0.0442359 0.0652637
490000 0.0164616 0.0442359 0.0652637
491000 0.0164616 0.0442359 0.0652637
492000 0.0164616 0.0442359 0.0652637
493000 0.0164616 0.0442359 0.0652637
494000 0.0164616 0.0442359 0.0652637
495000 0.0164616 0.0442359 0.0652637
496000 0.0164616 0.0442359 0.0652637
497000 0.0164616 0.0442359 0.0652637
498000 0.0164616 0.0442359 0.0652637
499000 0.0164616 0.0442359 0.0652637
500000 0.0164616 0.0442359 0.0652637
